UN_SMP,SMP_Loc,US_SMA,SMA_Loc,Jurus_SMA,UN_SMA,Pil_Jur,Prestasi,test_score,status
B,Luar Kota,A,Luar Kota,IPS,B,Saintek,No,B,Placed
A,Dalam Kota,A,Luar Kota,IPA,A,Saintek,Yes,A,Placed
B,Dalam Kota,B,Dalam Kota,Seni,B,Soshum,No,A,Placed
B,Dalam Kota,B,Dalam Kota,IPA,B,Saintek,No,B,Not Placed
A,Dalam Kota,A,Dalam Kota,IPS,A,Soshum,No,A,Placed
B,Luar Kota,C,Luar Kota,IPA,B,Saintek,Yes,B,Not Placed
C,Luar Kota,C,Luar Kota,IPS,A,Soshum,No,A,Not Placed
A,Dalam Kota,B,Dalam Kota,IPA,B,Saintek,Yes,B,Placed
A,Dalam Kota,A,Dalam Kota,IPS,A,Soshum,No,A,Placed
B,Dalam Kota,A,Dalam Kota,IPS,B,Soshum,No,B,Not Placed
B,Dalam Kota,B,Dalam Kota,IPS,B,Soshum,Yes,B,Placed
B,Dalam Kota,B,Dalam Kota,IPS,A,Soshum,Yes,B,Placed
C,Dalam Kota,B,Luar Kota,IPA,B,Soshum,No,B,Not Placed
A,Dalam Kota,A,Dalam Kota,IPS,B,Soshum,No,B,Placed
B,Dalam Kota,C,Dalam Kota,IPS,B,Soshum,No,A,Not Placed
B,Dalam Kota,A,Dalam Kota,IPS,B,Soshum,Yes,A,Placed
B,Dalam Kota,B,Dalam Kota,IPS,B,Soshum,Yes,B,Placed
B,Dalam Kota,B,Dalam Kota,IPS,B,Soshum,No,B,Not Placed
B,Dalam Kota,B,Dalam Kota,IPS,B,Soshum,No,B,Not Placed
B,Luar Kota,B,Luar Kota,Seni,A,Soshum,Yes,B,Placed
B,Luar Kota,B,Luar Kota,IPS,B,Soshum,No,B,Placed
A,Luar Kota,A,Luar Kota,IPS,A,Soshum,No,A,Placed
B,Luar Kota,B,Luar Kota,IPA,A,Saintek,No,B,Placed
A,Luar Kota,B,Luar Kota,IPA,B,Saintek,Yes,A,Placed
A,Luar Kota,A,Luar Kota,IPA,A,Saintek,No,A,Placed
B,Luar Kota,B,Dalam Kota,IPS,B,Soshum,Yes,A,Not Placed
A,Luar Kota,A,Luar Kota,IPS,B,Soshum,Yes,A,Placed
B,Luar Kota,B,Luar Kota,IPS,B,Soshum,No,B,Placed
A,Luar Kota,A,Luar Kota,IPS,B,Soshum,Yes,A,Placed
B,Dalam Kota,B,Dalam Kota,IPS,B,Soshum,No,A,Not Placed
B,Dalam Kota,A,Dalam Kota,IPS,A,Soshum,No,B,Placed
B,Dalam Kota,B,Dalam Kota,IPA,B,Saintek,No,B,Not Placed
B,Dalam Kota,A,Dalam Kota,IPS,B,Soshum,No,B,Placed
A,Luar Kota,B,Luar Kota,IPA,A,Soshum,Yes,A,Placed
B,Luar Kota,B,Luar Kota,IPA,B,Soshum,No,B,Not Placed
B,Dalam Kota,A,Dalam Kota,IPS,A,Soshum,No,A,Placed
B,Dalam Kota,C,Dalam Kota,IPS,B,Soshum,No,B,Not Placed
A,Dalam Kota,A,Dalam Kota,IPA,B,Saintek,No,B,Placed
A,Luar Kota,B,Luar Kota,IPA,B,Soshum,No,B,Placed
A,Luar Kota,B,Luar Kota,IPA,B,Saintek,No,A,Placed
A,Dalam Kota,A,Luar Kota,IPS,A,Soshum,No,B,Placed
A,Luar Kota,B,Luar Kota,IPS,B,Soshum,Yes,B,Not Placed
C,Luar Kota,C,Dalam Kota,IPA,B,Soshum,No,B,Not Placed
A,Luar Kota,A,Luar Kota,IPS,B,Soshum,No,A,Placed
A,Luar Kota,A,Luar Kota,IPS,A,Soshum,Yes,A,Placed
A,Dalam Kota,B,Dalam Kota,IPA,A,Saintek,No,B,Not Placed
A,Luar Kota,A,Luar Kota,IPA,B,Soshum,No,B,Not Placed
B,Dalam Kota,B,Dalam Kota,IPS,B,Soshum,Yes,A,Placed
B,Luar Kota,B,Luar Kota,IPS,B,Soshum,No,B,Placed
B,Luar Kota,C,Luar Kota,Seni,B,Soshum,No,B,Not Placed
A,Dalam Kota,A,Dalam Kota,IPA,B,Soshum,No,B,Placed
B,Dalam Kota,B,Dalam Kota,IPS,B,Soshum,No,B,Not Placed
C,Luar Kota,C,Luar Kota,IPS,B,Soshum,No,A,Not Placed
A,Luar Kota,A,Luar Kota,IPA,A,Saintek,No,A,Placed
A,Dalam Kota,B,Luar Kota,IPA,B,Soshum,No,A,Placed
B,Dalam Kota,B,Luar Kota,IPA,B,Soshum,No,A,Placed
B,Luar Kota,A,Luar Kota,IPS,B,Soshum,No,B,Placed
B,Dalam Kota,A,Dalam Kota,IPS,A,Soshum,No,A,Placed
A,Dalam Kota,B,Luar Kota,IPA,B,Soshum,No,A,Placed
B,Dalam Kota,B,Luar Kota,IPA,A,Saintek,No,B,Placed
A,Dalam Kota,A,Dalam Kota,IPA,A,Soshum,Yes,B,Placed
A,Dalam Kota,A,Dalam Kota,IPS,B,Soshum,No,B,Placed
A,Luar Kota,B,Luar Kota,IPA,B,Saintek,No,B,Placed
B,Luar Kota,A,Luar Kota,IPS,B,Soshum,No,B,Not Placed
A,Luar Kota,A,Luar Kota,IPS,A,Soshum,No,B,Placed
B,Luar Kota,C,Luar Kota,IPA,B,Soshum,No,A,Not Placed
A,Luar Kota,A,Luar Kota,IPA,B,Soshum,No,B,Placed
A,Luar Kota,A,Luar Kota,IPS,B,Soshum,No,B,Placed
B,Dalam Kota,C,Dalam Kota,IPS,A,Saintek,No,A,Not Placed
A,Dalam Kota,A,Dalam Kota,IPA,B,Saintek,Yes,A,Placed
A,Luar Kota,B,Luar Kota,IPA,B,Saintek,No,A,Placed
A,Luar Kota,A,Luar Kota,IPS,A,Soshum,No,A,Placed
A,Luar Kota,B,Luar Kota,IPA,A,Soshum,No,A,Placed
B,Dalam Kota,A,Luar Kota,IPS,A,Soshum,No,A,Placed
B,Dalam Kota,B,Dalam Kota,IPS,A,Soshum,No,A,Placed
B,Dalam Kota,B,Luar Kota,IPS,A,Soshum,No,A,Not Placed
B,Luar Kota,A,Dalam Kota,Seni,A,Soshum,No,B,Placed
B,Luar Kota,A,Luar Kota,IPA,B,Saintek,Yes,B,Placed
A,Luar Kota,A,Luar Kota,IPA,B,Saintek,No,A,Placed
B,Dalam Kota,B,Dalam Kota,IPA,B,Saintek,No,A,Not Placed
B,Luar Kota,B,Luar Kota,IPS,B,Soshum,Yes,B,Placed
A,Luar Kota,B,Luar Kota,IPA,B,Soshum,Yes,A,Placed
B,Dalam Kota,B,Dalam Kota,IPS,A,Soshum,No,A,Not Placed
A,Luar Kota,A,Luar Kota,IPA,B,Saintek,Yes,A,Placed
A,Dalam Kota,B,Luar Kota,IPA,A,Saintek,Yes,B,Placed
A,Luar Kota,A,Luar Kota,IPS,A,Soshum,Yes,A,Placed
B,Luar Kota,B,Luar Kota,IPS,B,Soshum,No,B,Placed
B,Dalam Kota,B,Dalam Kota,IPA,B,Soshum,No,A,Not Placed
B,Dalam Kota,B,Dalam Kota,IPS,A,Soshum,No,B,Placed
A,Luar Kota,A,Luar Kota,IPA,B,Saintek,Yes,B,Placed
A,Luar Kota,A,Luar Kota,IPS,A,Soshum,No,A,Placed
B,Dalam Kota,B,Dalam Kota,IPS,B,Soshum,No,B,Not Placed
B,Dalam Kota,B,Dalam Kota,IPA,B,Soshum,No,A,Placed
B,Dalam Kota,B,Dalam Kota,IPS,B,Soshum,No,A,Not Placed
B,Dalam Kota,B,Dalam Kota,IPS,B,Soshum,No,B,Placed
A,Dalam Kota,A,Luar Kota,IPS,B,Soshum,Yes,A,Placed
A,Dalam Kota,A,Dalam Kota,IPA,A,Soshum,Yes,B,Placed
A,Dalam Kota,B,Luar Kota,IPS,B,Soshum,No,A,Not Placed
B,Dalam Kota,A,Dalam Kota,IPS,B,Soshum,No,A,Placed
B,Dalam Kota,A,Luar Kota,IPS,B,Saintek,No,B,Not Placed
C,Luar Kota,B,Luar Kota,IPS,B,Soshum,Yes,B,Not Placed
B,Dalam Kota,A,Dalam Kota,IPS,B,Soshum,No,A,Placed
A,Luar Kota,B,Luar Kota,IPS,B,Soshum,Yes,B,Placed
A,Dalam Kota,A,Dalam Kota,IPA,A,Saintek,Yes,A,Placed
B,Dalam Kota,B,Luar Kota,IPA,B,Soshum,Yes,B,Placed
B,Dalam Kota,B,Luar Kota,IPA,B,Saintek,No,A,Not Placed
B,Luar Kota,B,Luar Kota,IPA,B,Saintek,No,A,Not Placed
A,Luar Kota,A,Luar Kota,IPS,A,Soshum,No,A,Placed
B,Dalam Kota,A,Dalam Kota,IPS,B,Soshum,No,A,Placed
B,Dalam Kota,B,Luar Kota,IPA,B,Saintek,Yes,A,Not Placed
B,Dalam Kota,A,Dalam Kota,IPA,A,Saintek,No,B,Placed
B,Luar Kota,B,Luar Kota,IPA,B,Saintek,No,B,Not Placed
B,Luar Kota,B,Luar Kota,IPS,B,Soshum,No,B,Placed
A,Luar Kota,A,Luar Kota,IPS,B,Soshum,No,A,Placed
B,Dalam Kota,B,Luar Kota,IPA,B,Soshum,No,B,Placed
A,Luar Kota,B,Luar Kota,IPA,B,Soshum,No,A,Placed
B,Dalam Kota,A,Dalam Kota,IPS,B,Soshum,Yes,A,Placed
A,Luar Kota,A,Luar Kota,IPA,A,Saintek,No,A,Placed
A,Dalam Kota,A,Dalam Kota,IPA,A,Saintek,Yes,A,Placed
B,Dalam Kota,B,Dalam Kota,IPS,B,Soshum,Yes,A,Placed
B,Luar Kota,C,Luar Kota,IPA,B,Soshum,No,A,Not Placed
B,Dalam Kota,B,Luar Kota,IPA,B,Saintek,Yes,B,Placed
B,Dalam Kota,B,Dalam Kota,Seni,B,Soshum,Yes,A,Placed
A,Luar Kota,B,Luar Kota,IPS,A,Soshum,Yes,B,Placed
B,Dalam Kota,A,Dalam Kota,IPA,B,Soshum,Yes,B,Placed
A,Dalam Kota,A,Dalam Kota,IPS,A,Soshum,No,A,Placed
A,Luar Kota,B,Luar Kota,IPA,A,Saintek,Yes,A,Placed
A,Luar Kota,B,Luar Kota,IPA,B,Soshum,No,B,Placed
A,Dalam Kota,A,Dalam Kota,IPA,A,Saintek,Yes,A,Placed
A,Dalam Kota,A,Luar Kota,IPS,B,Soshum,Yes,A,Placed
B,Dalam Kota,B,Luar Kota,IPS,B,Soshum,No,A,Not Placed
A,Luar Kota,B,Luar Kota,IPA,B,Soshum,Yes,A,Placed
B,Luar Kota,B,Luar Kota,IPS,B,Soshum,Yes,A,Placed
A,Dalam Kota,B,Luar Kota,IPS,A,Soshum,Yes,B,Placed
A,Dalam Kota,A,Luar Kota,IPS,A,Soshum,Yes,A,Placed
A,Dalam Kota,B,Luar Kota,IPA,B,Soshum,No,B,Placed
C,Dalam Kota,B,Dalam Kota,Seni,B,Soshum,No,A,Not Placed
B,Luar Kota,B,Dalam Kota,IPS,A,Soshum,No,B,Placed
A,Luar Kota,B,Luar Kota,IPA,A,Saintek,Yes,A,Placed
A,Dalam Kota,A,Dalam Kota,IPS,B,Soshum,Yes,B,Placed
B,Dalam Kota,B,Luar Kota,IPS,B,Soshum,Yes,B,Placed
B,Dalam Kota,B,Dalam Kota,IPA,B,Soshum,No,B,Not Placed
A,Dalam Kota,B,Luar Kota,IPA,A,Saintek,Yes,B,Placed
A,Luar Kota,B,Luar Kota,IPS,A,Soshum,No,A,Placed
B,Luar Kota,B,Luar Kota,Seni,B,Soshum,No,B,Not Placed
A,Luar Kota,B,Luar Kota,IPA,A,Saintek,No,A,Placed
B,Dalam Kota,B,Luar Kota,IPA,B,Soshum,No,A,Placed
A,Dalam Kota,A,Dalam Kota,IPS,B,Soshum,No,A,Placed
A,Dalam Kota,A,Dalam Kota,Seni,B,Soshum,No,B,Placed
C,Dalam Kota,B,Dalam Kota,Seni,B,Soshum,Yes,B,Not Placed
A,Dalam Kota,B,Dalam Kota,IPA,B,Saintek,Yes,B,Placed
B,Dalam Kota,B,Dalam Kota,IPS,A,Soshum,No,A,Placed
A,Luar Kota,B,Dalam Kota,IPA,A,Saintek,No,A,Placed
C,Luar Kota,B,Luar Kota,IPA,B,Saintek,Yes,A,Placed
B,Dalam Kota,B,Luar Kota,IPA,B,Soshum,Yes,A,Placed
B,Luar Kota,A,Luar Kota,IPS,B,Soshum,Yes,B,Not Placed
A,Dalam Kota,B,Dalam Kota,IPA,B,Saintek,Yes,A,Placed
B,Dalam Kota,B,Dalam Kota,IPS,B,Soshum,No,A,Placed
B,Luar Kota,B,Luar Kota,IPA,B,Saintek,No,B,Not Placed
B,Dalam Kota,C,Luar Kota,IPS,B,Soshum,No,B,Not Placed
A,Dalam Kota,A,Dalam Kota,IPA,B,Saintek,Yes,A,Placed
B,Luar Kota,B,Luar Kota,IPS,B,Soshum,No,B,Not Placed
A,Dalam Kota,A,Luar Kota,IPS,A,Soshum,Yes,A,Placed
B,Luar Kota,B,Luar Kota,IPA,B,Saintek,No,A,Placed
B,Dalam Kota,A,Dalam Kota,IPS,B,Soshum,No,B,Placed
B,Dalam Kota,A,Luar Kota,IPS,A,Soshum,No,A,Not Placed
B,Luar Kota,B,Luar Kota,IPS,B,Soshum,Yes,B,Placed
B,Luar Kota,B,Luar Kota,IPA,B,Saintek,Yes,B,Not Placed
C,Dalam Kota,B,Dalam Kota,IPS,B,Soshum,Yes,B,Not Placed
B,Luar Kota,C,Luar Kota,IPA,B,Saintek,No,B,Not Placed
B,Luar Kota,B,Luar Kota,IPS,B,Soshum,No,B,Not Placed
A,Luar Kota,A,Luar Kota,IPS,A,Soshum,Yes,B,Placed
A,Luar Kota,B,Luar Kota,IPS,B,Soshum,No,A,Placed
B,Luar Kota,B,Luar Kota,IPA,B,Saintek,No,B,Not Placed
A,Luar Kota,B,Luar Kota,IPA,B,Saintek,Yes,B,Placed
B,Luar Kota,B,Luar Kota,IPA,B,Saintek,No,A,Not Placed
B,Dalam Kota,B,Luar Kota,IPS,B,Soshum,No,B,Placed
A,Dalam Kota,A,Luar Kota,IPS,A,Soshum,Yes,A,Placed
B,Luar Kota,B,Luar Kota,IPA,B,Saintek,No,A,Placed
A,Dalam Kota,B,Dalam Kota,IPA,B,Saintek,No,A,Not Placed
B,Dalam Kota,A,Luar Kota,IPS,B,Soshum,Yes,B,Placed
B,Dalam Kota,B,Luar Kota,IPA,B,Saintek,No,B,Not Placed
B,Luar Kota,B,Luar Kota,Seni,B,Soshum,Yes,A,Not Placed
B,Dalam Kota,A,Dalam Kota,IPS,B,Soshum,No,B,Placed
B,Luar Kota,B,Luar Kota,IPS,B,Soshum,No,B,Not Placed
A,Dalam Kota,A,Dalam Kota,IPA,A,Soshum,No,A,Placed
B,Dalam Kota,B,Dalam Kota,IPS,B,Soshum,No,B,Not Placed
A,Dalam Kota,B,Dalam Kota,IPA,B,Saintek,Yes,A,Placed
B,Luar Kota,C,Luar Kota,IPS,B,Soshum,No,B,Not Placed
B,Dalam Kota,A,Luar Kota,IPS,B,Soshum,No,A,Not Placed
B,Luar Kota,A,Dalam Kota,IPS,B,Soshum,No,B,Not Placed
B,Luar Kota,B,Dalam Kota,IPA,A,Soshum,No,A,Placed
B,Dalam Kota,B,Dalam Kota,IPS,B,Soshum,Yes,A,Placed
B,Dalam Kota,B,Dalam Kota,Seni,B,Soshum,Yes,A,Placed
B,Luar Kota,B,Luar Kota,IPS,B,Soshum,No,B,Not Placed
B,Dalam Kota,A,Dalam Kota,IPS,A,Soshum,Yes,A,Placed
A,Luar Kota,B,Luar Kota,IPA,A,Saintek,Yes,A,Placed
A,Luar Kota,B,Luar Kota,IPA,A,Saintek,No,B,Placed
B,Dalam Kota,A,Dalam Kota,IPS,B,Soshum,No,A,Not Placed
B,Luar Kota,B,Luar Kota,IPS,B,Soshum,No,A,Placed
B,Luar Kota,B,Luar Kota,IPS,B,Soshum,No,A,Placed
B,Dalam Kota,B,Luar Kota,IPA,B,Soshum,No,A,Not Placed
A,Dalam Kota,B,Dalam Kota,IPA,B,Saintek,No,B,Placed
B,Luar Kota,B,Luar Kota,IPS,B,Soshum,No,B,Placed
A,Luar Kota,A,Luar Kota,IPS,A,Soshum,Yes,A,Placed
B,Luar Kota,B,Luar Kota,IPS,B,Soshum,No,B,Placed
C,Dalam Kota,C,Dalam Kota,IPA,B,Soshum,No,A,Not Placed
A,Dalam Kota,A,Luar Kota,IPS,B,Soshum,Yes,A,Placed
C,Dalam Kota,B,Luar Kota,IPA,B,Soshum,No,A,Not Placed
B,Dalam Kota,A,Dalam Kota,IPS,B,Soshum,No,B,Placed
A,Luar Kota,A,Luar Kota,IPS,A,Soshum,No,A,Placed
B,Luar Kota,B,Luar Kota,IPA,A,Saintek,No,A,Placed
B,Luar Kota,B,Luar Kota,IPS,A,Soshum,Yes,B,Placed
A,Luar Kota,B,Luar Kota,IPS,B,Soshum,No,A,Placed
B,Dalam Kota,B,Luar Kota,IPA,B,Soshum,No,A,Not Placed
